epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.018,1.15331,3.30068,1.42709,0.00573,0.89833,0.2244,0.15659,0.91357,3.50009,1.31962,0.0002875,0.0002875,0.0002875
2,400.215,1.18551,2.77812,1.46018,0.49474,0.08117,0.26322,0.1616,1.09323,3.01983,1.52996,0.000558419,0.000558419,0.000558419
3,603.059,1.24877,2.51685,1.48266,0.20406,0.41055,0.2694,0.14838,1.19473,2.81353,1.63851,0.000799638,0.000799638,0.000799638
4,801.956,1.24841,2.37715,1.47354,0.35633,0.49847,0.3381,0.21312,1.23683,2.71383,1.6512,0.00101116,0.00101116,0.00101116
5,1002.96,1.23902,2.24182,1.46982,0.35512,0.57392,0.37754,0.22907,1.27155,3.44782,1.66897,0.0010025,0.0010025,0.0010025
6,1206.6,1.29275,2.19026,1.48685,0.28585,0.47761,0.38578,0.23438,1.22703,3.33988,1.62457,0.000940625,0.000940625,0.000940625
7,1404.25,1.25423,2.13692,1.47341,0.53576,0.39513,0.44848,0.28957,1.25315,2.77006,1.63258,0.00087875,0.00087875,0.00087875
8,1601.62,1.22548,2.0203,1.46213,0.46649,0.52117,0.46087,0.28669,1.32248,2.77553,1.74249,0.000816875,0.000816875,0.000816875
9,1802,1.21718,1.96497,1.42492,0.42198,0.58541,0.51183,0.32457,1.20501,2.53358,1.64484,0.000755,0.000755,0.000755
10,1999.24,1.16681,1.97181,1.41776,0.48314,0.60066,0.59373,0.35097,1.29443,2.29252,1.69473,0.000693125,0.000693125,0.000693125
11,2198,1.15392,2.17731,1.48447,0.60337,0.50611,0.60265,0.35931,1.27291,2.19652,1.67089,0.00063125,0.00063125,0.00063125
12,2399.51,1.12246,2.09636,1.43314,0.50118,0.5474,0.52903,0.3424,1.18109,2.28148,1.64061,0.000569375,0.000569375,0.000569375
13,2594.35,1.06803,2.1082,1.38852,0.61339,0.58661,0.58524,0.36347,1.19979,2.34453,1.64057,0.0005075,0.0005075,0.0005075
14,2791.24,1.0954,1.90808,1.40961,0.51429,0.59374,0.57815,0.38609,1.12169,2.35325,1.56496,0.000445625,0.000445625,0.000445625
15,2986.21,1.02951,1.9561,1.35694,0.50813,0.601,0.55735,0.38375,1.07844,2.3106,1.53486,0.00038375,0.00038375,0.00038375
16,3182.9,1.01469,1.82116,1.34845,0.59966,0.64856,0.57208,0.39566,1.09284,2.20318,1.56932,0.000321875,0.000321875,0.000321875
17,3379.97,1.00628,1.8395,1.33992,0.62619,0.57793,0.61371,0.41092,1.08796,2.16852,1.52595,0.00026,0.00026,0.00026
18,3577,1.01725,1.74321,1.32809,0.60617,0.64326,0.63576,0.43094,1.07865,2.0911,1.5077,0.000198125,0.000198125,0.000198125
19,3777.18,0.97469,1.78553,1.2981,0.64009,0.63634,0.65594,0.44681,1.06721,2.00632,1.50067,0.00013625,0.00013625,0.00013625
20,3971.21,0.988,1.68606,1.29213,0.67712,0.58866,0.65445,0.4456,1.05777,2.00209,1.49294,7.4375e-05,7.4375e-05,7.4375e-05
